Отчет Суммы по организациям;;;;;;;;;;;;;;;;
Без заявок: Нет;;;;;;;;;;;;;;;;
№;Название;ИНН;Менеджер;Всего кол-во;Всего сумма;ПРОФ кол-во;ПРОФ сумма;ЛМК кол-во;ЛМК сумма;Справки кол-во;Справки сумма;Лечение кол-во;Лечение сумма;Себестоимость;Маржинальность;Маржинальность %
114;"ООО ""ЛИГА РОБОТОВ МОСКВА""";9701183415;Якубжанова Екатерина (3);3;7300;;;3;7300;;;;;5260;2040; 27.95
115;"ООО ""ЛИДЕРЛАЙФ""";7724823072;Якубжанова Екатерина (3);13;27000;;;9;22200;4;4800;;;26800;200; .74
116;"ООО ""ЛИТА МЕДИКАЛ""";7728815890;Якубжанова Екатерина (3);4;3000;;;4;3000;;;;;8150;-5150;- 171.67
117;"ООО ""ЛОГИНОФ СТОЛИЦА""";2508128967;Якубжанова Екатерина (3);1;1600;1;1600;;;;;;;0;1600; 100.00
118;"ООО ""ЛОНДОН ГЕЙТС ЛИМИТЕД""";7704393625;Боташева (1);3;4400;1;1800;2;2600;;;;;5050;-650;- 14.77
119;"ООО ""МАМАОК""";9705175920;Якубжанова Екатерина (3);2;5900;;;2;5900;;;;;4050;1850; 31.36
120;"ООО ""МАРУГА""";7708656850;Боташева (1);6;;;;6;;;;;;10560;-10560;
121;"ООО ""МАССАЖБАР""";7722495637;Боташева (1);1;2500;;;1;2500;;;;;2160;340; 13.60
122;"ООО ""МАСТЕР ПЛЮС""";5032190498;Якубжанова Екатерина (3);41;76200;21;46200;;;20;30000;;;0;76200; 100.00
123;"ООО ""МБ-СТРОЙ""";6164108822;Якубжанова Екатерина (3);1;2200;1;2200;;;;;;;0;2200; 100.00
124;"ООО ""МГСС""";7706300993;Якубжанова Екатерина (3);1;2200;1;2200;;;;;;;#Н/Д;#Н/Д;
125;"ООО ""МЕДИКАЛ СИТИ""";9729311240;Якубжанова Екатерина (3);4;;2;;2;;;;;;6350;-6350;
126;"ООО ""МЗС""";4027135098;Якубжанова Екатерина (3);4;7200;4;7200;;;;;;;0;7200; 100.00
127;"ООО ""МИЛАНА""";7751143598;Якубжанова Екатерина (3);3;;1;;2;;;;;;1200;-1200;
128;"ООО ""МИЛЛХАУС""";5017107495;Якубжанова Екатерина (3);16;56700;;;16;56700;;;;;37620;19080; 33.65
129;"ООО ""МКНТ ИМПОРТ""";7725529940;Якубжанова Екатерина (3);8;22400;;;8;22400;;;;;15820;6580; 29.38
130;"ООО ""МОДЕРНА""";5027239204;Якубжанова Екатерина (3);2;;1;;1;;;;;;2160;-2160;
131;"ООО ""МОСРЕМСТРОЙ""";7728865475;Боташева (1);3;5000;1;2000;;;2;3000;;;0;5000; 100.00
132;"ООО ""МСК Д 1""";9709072731;Якубжанова Екатерина (3);1;2700;;;1;2700;;;;;2060;640; 23.70
133;"ООО ""НВ-МЕДИКА""";9709078275;Якубжанова Екатерина (3);1;80000;;;;;;;1;80000;0;80000; 100.00
134;"ООО ""НЕВА""";7810422388;Якубжанова Екатерина (3);6;9800;3;3000;3;6800;;;;;6670;3130; 31.94
135;"ООО ""НОРДФАРМ""";7708311380;Якубжанова Екатерина (3);2;;1;;1;;;;;;1890;-1890;
136;"ООО ""НТЦ""ПГТИ""";9309025670;Якубжанова Екатерина (3);2;4400;2;4400;;;;;;;0;4400; 100.00
137;"ООО ""НТЦ ""ТПМ""";6229098621;Якубжанова Екатерина (3);3;7500;3;7500;;;;;;;0;7500; 100.00
138;"ООО ""НУТТИС""";7726386741;Якубжанова Екатерина (3);1;4000;;;1;4000;;;;;2240;1760; 44.00
139;"ООО ""НЭКСПО ГРУПП""";7727773165;Якубжанова Екатерина (3);4;6600;3;6600;1;;;;;;2160;4440; 67.27
